date,open,high,low,close,Volume USD
2017-04-30,1336.77,1356.0,1315.68,1350.21,4719447.060736718
2017-05-01,1348.88,1425.0,1341.22,1390.86,11923006.562108375
2017-05-02,1390.86,1481.73,1388.0,1447.75,12831256.232523212
2017-05-03,1447.75,1516.04,1431.02,1503.22,16381526.97806931
2017-05-04,1503.25,1623.01,1444.94,1537.23,30115589.169541124
2017-05-05,1537.36,1609.0,1495.0,1514.9,24261539.11441344
2017-05-06,1514.9,1578.97,1505.0,1558.02,12178798.784089863
2017-05-07,1554.04,1565.0,1525.0,1554.01,11808438.958524494
2017-05-08,1554.38,1653.97,1554.38,1649.54,30654963.81279848
2017-05-09,1649.55,1760.4,1616.05,1720.28,28744654.016517516
2017-05-10,1720.26,1794.21,1682.0,1772.58,19699665.304843187
2017-05-11,1772.58,1892.0,1745.01,1828.45,26993608.635658037
2017-05-12,1830.85,1832.0,1650.0,1691.51,29856730.195689544
2017-05-13,1690.33,1785.82,1601.46,1776.89,17800230.40767524
2017-05-14,1776.8,1815.0,1753.0,1784.0,8584726.155646136
2017-05-15,1782.3,1784.0,1682.56,1705.48,22954159.57497401
2017-05-16,1706.07,1750.0,1641.22,1700.01,28258296.28251225
2017-05-17,1700.01,1840.42,1670.01,1782.99,31599623.25867273
2017-05-18,1779.0,1881.8,1766.33,1878.99,21761228.77058376
2017-05-19,1879.0,1969.99,1874.99,1958.0,27221149.6590366
2017-05-20,1959.09,2021.0,1914.0,2013.99,24249223.08269568
2017-05-21,2013.99,2063.11,1961.52,2017.55,13644681.983772373
2017-05-22,2017.55,2230.34,2001.0,2099.97,34516278.92840811
2017-05-23,2088.76,2275.0,2088.45,2264.23,31140920.95885634
2017-05-24,2265.9,2481.75,2264.64,2420.29,52781009.28354366
2017-05-25,2420.29,2760.1,2221.0,2292.53,83025828.78906836
2017-05-26,2277.01,2599.12,2060.0,2279.82,66459806.49695624
2017-05-27,2280.7,2339.94,1850.0,2042.0,54112605.87696674
2017-05-28,2042.89,2313.96,2041.48,2178.81,33656842.13025903
2017-05-29,2172.54,2350.0,2110.0,2292.1,27371131.03346549
2017-05-30,2290.18,2339.08,2160.0,2203.51,31433705.00928933
2017-05-31,2201.7,2334.0,2154.28,2298.01,36865064.23427324
2017-06-01,2298.01,2456.39,2296.81,2413.63,43990581.15494295
2017-06-02,2413.58,2489.0,2370.03,2488.94,30186192.62490457
2017-06-03,2488.94,2584.34,2445.0,2540.94,27298834.28126883
2017-06-04,2538.1,2569.0,2460.0,2530.27,22266004.81595814
2017-06-05,2530.27,2699.35,2525.28,2698.0,31923682.864368614
2017-06-06,2698.0,2933.0,2689.4,2880.74,75265792.05628832
2017-06-07,2875.71,2893.28,2612.5,2683.03,47197231.66711345
2017-06-08,2680.24,2815.0,2613.13,2806.0,36432177.77664686
2017-06-09,2805.46,2868.23,2780.43,2822.32,22702263.10403771
2017-06-10,2818.0,2912.98,2800.0,2899.99,27433917.202193946
2017-06-11,2899.01,2967.46,2861.53,2954.22,19890423.76045285
2017-06-12,2954.23,2980.0,2480.03,2667.06,85777804.53440444
2017-06-13,2656.97,2783.62,2638.62,2703.02,44217562.1017292
2017-06-14,2705.99,2801.0,2320.0,2450.0,76118387.43967465
2017-06-15,2451.42,2516.2,2120.0,2424.91,84956257.3933399
2017-06-16,2424.96,2540.0,2307.66,2484.68,33834561.106297106
2017-06-17,2484.68,2674.4,2420.53,2630.0,28566938.07982778
2017-06-18,2630.06,2665.0,2460.62,2516.98,24024038.95997193
2017-06-19,2516.98,2598.0,2480.96,2598.0,27012012.119943317
2017-06-20,2598.0,2783.0,2581.0,2740.0,42540352.07597769
2017-06-21,2734.03,2789.0,2611.0,2657.04,42303730.87689787
2017-06-22,2658.67,2740.0,2594.61,2713.48,28957718.29068309
2017-06-23,2713.48,2745.0,2657.46,2685.05,22348530.949751347
2017-06-24,2685.05,2724.96,2512.13,2557.66,34942043.022742964
2017-06-25,2557.66,2635.72,2432.0,2502.03,26248023.324217293
2017-06-26,2502.26,2550.03,2315.01,2421.22,54092346.2768623
2017-06-27,2421.21,2565.0,2291.0,2565.0,45782575.81603384
2017-06-28,2565.0,2593.0,2468.01,2559.9,31102646.09740661
2017-06-29,2550.99,2594.78,2500.31,2541.59,20773916.966552395
2017-06-30,2538.41,2564.58,2451.0,2465.49,21952781.30473537
2017-07-01,2465.48,2517.11,2390.0,2412.41,21756289.614205237
