date,open,high,low,close,Volume USD
2021-04-09,58066.18,58890.25,57657.43,58109.56,154938897.12549168
2021-04-10,58129.02,61222.22,57870.0,59766.93,235232825.31013426
2021-04-11,59773.19,60679.0,59165.15,59979.26,108999775.82927912
2021-04-12,59972.26,61234.56,59361.11,59831.66,223081048.2630603
2021-04-13,59814.87,63769.0,59780.0,63564.48,354919607.9333145
2021-04-14,63605.69,64895.22,61327.0,62986.09,380169826.793004
2021-04-15,62954.2,63855.37,61998.9,63239.19,216130430.50256673
2021-04-16,63247.24,63580.4,60042.04,61436.24,355266341.00223917
2021-04-17,61436.23,62596.48,59676.67,60032.29,188938306.78032634
2021-04-18,60048.82,60433.81,51541.16,56280.6,715056675.8571985
2021-04-19,56260.83,57633.0,54252.88,55694.55,326053833.7449865
2021-04-20,55694.55,57119.0,53400.0,56503.19,325429514.9927775
2021-04-21,56493.02,56850.0,53628.79,53806.24,253531025.72130078
2021-04-22,53823.48,55491.8,50450.01,51683.95,418300734.1230909
2021-04-23,51693.98,52131.34,47555.0,51176.65,578031734.0646698
2021-04-24,51177.77,51227.38,48713.34,50118.94,172126804.6727086
2021-04-25,50126.34,50608.94,47004.2,49128.43,205143140.51420802
2021-04-26,49122.75,54404.78,48823.01,54073.41,320173947.4684208
2021-04-27,54015.32,55519.37,53325.75,55091.39,224680571.13170174
2021-04-28,55094.73,56500.0,53811.49,54901.97,249041623.31266245
2021-04-29,54898.45,55239.33,52379.9,53593.97,223854700.53199574
2021-04-30,53585.93,58008.0,53087.15,57775.27,267561419.93201962
2021-05-01,57790.66,58549.0,57049.63,57851.91,130036603.6421261
2021-05-02,57893.01,57967.01,56064.51,56622.66,107167617.70993909
2021-05-03,56599.91,59000.0,56500.0,57222.37,210590623.90446088
2021-05-04,57227.64,57250.85,53080.69,53236.84,316924622.27240723
2021-05-05,53221.75,57976.62,52924.5,57509.93,309233555.38897735
2021-05-06,57517.08,58420.83,55283.0,56447.39,292277238.5091252
2021-05-07,56425.82,58743.85,55288.11,57381.73,241499377.5933136
2021-05-08,57371.02,59564.24,56977.5,58984.75,171829406.04000214
2021-05-09,58964.89,59300.62,56256.0,58305.24,149954318.87914392
2021-05-10,58336.16,59603.0,53500.0,55880.72,375437663.9447721
2021-05-11,55854.43,56972.33,54500.0,56763.7,234655423.19609717
2021-05-12,56763.7,58021.26,48530.0,49386.56,346608924.15644133
2021-05-13,49419.44,51420.72,45700.0,49694.96,450137087.3226318
2021-05-14,49711.64,51572.0,48875.69,49880.43,201761522.7610183
2021-05-15,49883.89,50710.93,46448.53,46708.89,174960465.65154082
2021-05-16,46753.4,49800.0,43769.4,46444.75,267609492.42954516
2021-05-17,46446.42,46648.5,42100.0,43593.39,540121440.0136166
2021-05-18,43581.27,45872.05,42023.69,42877.75,276480425.60563874
2021-05-19,42900.85,43601.63,30066.0,36780.43,1232831523.0519278
2021-05-20,36793.39,43000.0,35000.0,40640.9,585590312.1149641
2021-05-21,40566.13,42297.89,33520.0,37335.16,501463824.91379315
2021-05-22,37318.43,38887.99,35260.0,37500.54,213531898.21319464
2021-05-23,37474.34,38311.74,31107.46,34706.79,320364836.6931231
2021-05-24,34735.35,39960.0,34426.21,38839.86,381218518.0799937
2021-05-25,38848.36,40000.0,36486.85,38397.72,219208065.0770342
2021-05-26,38385.87,40904.0,37859.74,39309.56,165413300.92434132
2021-05-27,39299.46,40429.47,37212.9,38503.47,160310339.849483
2021-05-28,38578.5,38905.12,34710.23,35692.46,224345871.952632
2021-05-29,35691.36,37348.01,33650.0,34632.08,156801389.78789857
2021-05-30,34644.09,36516.99,33425.0,35677.72,105584437.77506767
2021-05-31,35675.3,37540.96,34195.2,37341.41,158950371.498982
2021-06-01,37279.89,37927.44,35699.98,36693.3,159123060.097983
2021-06-02,36693.3,38256.3,35933.19,37589.36,159559899.93835068
2021-06-03,37585.12,39490.0,37176.06,39219.88,156724662.12545234
2021-06-04,39242.94,39277.36,35576.67,36887.32,213766009.0291611
2021-06-05,36851.58,37927.93,34849.65,35532.14,149261392.8074464
2021-06-06,35532.59,36510.58,35250.0,35808.85,90751229.1758622
2021-06-07,35810.69,36808.3,33321.09,33582.62,174726256.672637
2021-06-08,33567.51,34085.61,31025.0,33411.69,295429208.91041374
2021-06-09,33413.19,37556.25,32423.72,37400.0,300428853.3112798
